0.00	55.68
0.05	55.01
0.10	55.43
0.15	55.18
0.21	55.68
0.26	55.76
0.31	55.93
0.36	56.18
0.41	55.51
0.46	55.93
0.51	55.93
0.57	55.93
0.62	55.93
0.68	55.93
0.74	55.93
0.79	55.93
0.84	55.93
0.90	55.51
0.95	55.51
1.01	56.27
1.06	55.93
1.11	55.76
1.17	56.77
1.23	56.10
1.28	55.51
1.34	55.93
1.39	55.51
1.45	56.27
1.50	56.18
1.55	55.26
1.61	55.51
1.66	55.51
1.71	55.93
1.76	55.93
1.81	55.93
1.87	55.18
1.92	55.51
1.97	55.76
2.02	55.43
2.07	55.68
2.12	55.93
2.17	55.18
2.23	55.68
2.28	54.93
2.33	55.76
2.38	55.76
2.43	56.18
2.49	55.93
2.54	56.10
2.59	55.43
2.64	55.68
2.69	55.93
2.75	55.76
2.80	55.93
2.85	55.68
2.90	55.43
2.95	55.51
3.00	54.76
3.06	55.51
3.11	55.76
3.16	55.68
3.21	55.18
3.27	55.26
3.32	55.26
3.37	55.93
3.42	56.18
3.47	55.93
3.53	56.01
3.58	55.43
3.63	56.43
3.68	55.68
3.73	56.43
3.78	56.27
3.84	55.76
3.89	55.18
3.94	55.76
3.99	55.93
4.04	55.26
4.09	55.93
4.14	55.93
4.20	55.76
4.25	56.01
4.30	55.43
4.35	55.26
4.41	55.85
4.46	55.43
4.51	56.01
4.56	55.76
4.61	55.51
4.66	55.51
4.71	55.43
4.76	55.68
4.82	55.26
4.87	55.76
4.92	55.93
4.97	55.85
5.02	56.27
5.07	55.76
5.12	55.93
5.17	55.76
5.22	55.85
5.28	55.93
5.33	55.93
5.38	55.68
5.43	55.26
5.48	55.26
5.53	55.76
5.58	56.27
5.63	55.85
5.68	55.93
5.73	55.76
5.78	55.51
5.83	55.76
5.88	56.01
5.93	55.51
5.98	55.85
6.03	56.18
6.08	55.93
6.13	55.51
6.18	55.93
6.23	55.76
6.29	54.68
6.34	55.43
6.39	55.51
6.44	55.26
6.49	55.68
6.54	55.43
6.59	55.26
6.64	55.01
6.69	55.43
6.74	55.76
6.79	55.26
6.84	55.01
6.89	55.43
6.94	55.01
6.99	56.18
7.04	56.52
7.09	55.76
7.14	55.76
7.19	57.02
7.23	55.76
7.28	56.01
7.33	56.01
7.38	55.93
7.43	55.68
7.49	55.01
7.54	55.76
7.59	55.18
7.64	56.18
7.69	55.43
7.74	55.43
7.79	55.18
7.84	55.68
7.89	55.76
7.94	54.93
7.98	55.43
8.03	55.01
8.08	55.26
8.13	55.76
8.18	56.18
8.23	55.76
8.28	56.18
8.33	55.68
8.38	55.76
8.43	55.93
8.48	56.27
8.53	55.93
8.58	55.76
8.63	55.68
8.69	55.68
8.74	55.76
8.79	55.76
8.84	55.76
8.90	55.76
8.95	55.68
9.00	55.51
9.05	54.76
9.10	54.93
9.15	54.76
9.20	55.68
9.25	55.68
9.30	55.43
9.34	54.76
9.39	55.43
9.44	55.51
9.49	55.43
9.54	55.43
9.59	55.26
9.64	55.26
9.69	55.26
9.74	54.76
9.79	55.18
9.84	54.93
9.89	54.93
9.94	55.18
9.99	55.51
10.04	54.68
10.09	54.93
10.14	55.68
10.19	54.93
10.24	55.18
10.30	55.43
10.35	55.76
10.40	55.68
10.45	55.18
10.50	55.01
10.55	55.01
10.60	54.68
10.64	55.51
10.69	55.18
10.74	55.18
10.79	54.93
10.84	55.51
10.89	55.68
10.94	55.18
10.99	56.01
11.04	55.43
11.09	55.18
11.14	55.26
11.19	54.51
11.24	54.93
11.29	55.01
11.34	55.26
11.39	55.43
11.44	55.68
11.49	55.51
11.54	55.26
11.59	54.51
11.64	55.43
11.69	55.51
11.74	55.76
11.79	55.76
11.84	55.43
11.89	54.93
11.94	55.18
11.99	55.76
12.04	55.26
12.09	55.60
12.14	54.76
12.19	54.93
12.23	55.18
12.28	55.01
12.33	55.18
12.38	55.26
12.43	55.26
12.48	55.43
12.53	55.18
12.58	55.18
